26: i
17: wanna
15: know
13: me
12: you
11: the
9: i'm
7: yeah
6: to
6: like
5: don't
5: it
5: a
5: that
5: up
5: my
5: with
5: what
4: in
4: so
4: it's
4: this
4: and
3: when
3: they
3: no
3: not
2: about
2: put
2: if
2: understand
2: then
2: at
2: be
2: out
2: does
2: get
2: fast
2: but
2: feel
2: run
2: down
2: got
2: look
2: never
2: for
2: can
2: played
2: better
1: 'bout
1: been
1: hands
1: agh
1: bad
1: handcuffed
1: thought
1: happy
1: what's
1: sick
1: your
1: bit
1: inches
1: bank
1: pen
1: let
1: catch
1: because
1: ten
1: quittin'
1: sentence
1: rap
1: give
1: grammys
1: want
1: raw
1: sense
1: dressed
1: come
1: is
1: them
1: personal
1: am
1: an
1: something
1: morning
1: ever
1: tryna
1: bummy
1: takin'
1: women
1: laughin'
1: care
1: vengeance
1: seen
1: long
1: into
1: older
1: funny
1: kids
1: think
1: side
1: set
1: question
1: goin'
1: could
1: more
1: one
1: people
1: somethin'
1: lead
1: nice
1: diary
1: face
1: inspire
1: heads
1: ain't
1: open
1: did
1: dress
1: had
1: rules
1: inside
1: hit
1: cage
1: wake
1: stressed
1: accomplished
1: woo
1: with,
1: relentless
1: from
1: tall
1: all
1: you'll
1: admirable
1: might
1: real
1: less
1: list
1: friends
1: y'all
1: walked
1: checks
1: guessed
1: scenes
1: since
1: little
1: option
1: next
1: behind
1: back
1: privacy
1: best
1: cold
1: mess
1: around
1: we
1: life
1: captured
1: of
1: oh
1: hide-and-seek
1: every
1: just
1: hide-from-me
1: on
1: sit
1: or
1: eyein'
1: apply
1: was
1: say
1: clean
1: tøp
1: room
1: really
1: dope
1: fans
1: mean
1: fiend
1: earth
1: me's
1: family
1: t-shirt
